label,AccX_mean,AccX_std,AccX_rms,AccX_kurtosis,AccX_skew,AccX_fft_mean,AccX_fft_std,AccX_fft_max,AccY_mean,AccY_std,AccY_rms,AccY_kurtosis,AccY_skew,AccY_fft_mean,AccY_fft_std,AccY_fft_max,AccZ_mean,AccZ_std,AccZ_rms,AccZ_kurtosis,AccZ_skew,AccZ_fft_mean,AccZ_fft_std,AccZ_fft_max
Electrical_Fault_Noise,303.140380859375,1747.040289745599,1773.1451899102772,-0.27213422883725613,0.026075567956900577,58195.27709181997,95502.17578470013,2420507.1639140956,-177.786865234375,1235.9130616394477,1248.634960819558,9.935832781003844,0.42966089985017386,39343.198729779295,68640.97817537465,2009423.83344842,,,,,,,,
Electrical_Fault_Noise,292.3671875,1755.3281873624433,1779.5099375040818,-0.2847792122548265,0.018899388628063507,66287.8707216578,90733.58065047255,1566534.6121213492,-180.674072265625,1172.9414330822465,1186.774926357175,-0.35532044992783174,-0.33566952460290383,38408.233977432916,64519.77206199384,1288811.2447803668,16222.478759765625,2305.942406240127,16385.548129127183,0.007452548668024139,0.019804827144565124,106465.0886380333,102252.59438301463,1450616.4959831142
Electrical_Fault_Noise,292.787109375,1757.1473797465703,1781.3734043053428,-0.2479916153193349,-0.004320809528920228,64422.357415428116,92204.74802985418,2154792.066045375,-182.623046875,1183.7810289112797,1197.7849146070241,-0.34303732565074796,-0.3627678883029747,36880.449612820754,66200.25001085948,1285828.6588381734,16233.480224609375,2330.6842120058454,16399.93808216595,0.01080929338902692,-0.03220829842537047,103957.38823912562,107019.68129605542,2359467.0597273796
Electrical_Fault_Noise,295.764404296875,1767.2304513493154,1791.8091558604647,-0.23086411602338863,-0.0031494865486052406,60904.49620205129,95336.21274995281,2349220.7858073213,-187.834228515625,1211.1138236992267,1225.5930773945413,-0.401490473732522,-0.3295520802085161,35388.32426214474,68982.51976613815,1569485.715012171,16235.835205078125,2344.1818213533134,16404.192550016523,-0.04573196056244955,-0.004900937354911803,99923.37478117149,111957.2155286703,2574774.175433475
Electrical_Fault_Noise,307.65380859375,1784.6122218833032,1810.936677092134,-0.20618466671706281,0.0025183506748816574,62963.59935278484,95321.65276079238,2385687.7659864025,-189.505615234375,1190.218380766228,1205.2104264895572,-0.3825664214726716,-0.32864252749780165,35629.235541396694,67348.56576668117,1469094.57709167,16196.060302734375,2310.7708817398543,16360.074309052055,-0.1333225494414627,0.05552634914765003,100992.55502739218,108085.17409654881,2464660.5826374916
Electrical_Fault_Noise,312.123291015625,1792.0500568985747,1819.0284096804562,-0.17885420034560262,0.005875146820406733,60942.926109595785,97191.37481190947,2312796.6500207693,-185.463623046875,1185.6260807128701,1200.0441486629709,-0.4374125777484621,-0.31381329774257605,34326.07271408894,67692.58997602436,1515443.1773577905,16214.146728515625,2310.5843603159697,16377.953297648968,-0.0777004079722885,-0.0007989002282002023,99056.76760922039,109823.89104982307,2426008.6668981356
Electrical_Fault_Noise,300.33544921875,1776.4796114329888,1801.6884280847594,-0.20075228802562117,0.015105735797524396,60328.46694356509,96401.47251864141,2166654.0642301254,-183.615478515625,1196.1339897071236,1210.1451009210436,-0.42930368797601126,-0.3460792970400498,34412.68722738984,68402.67869784735,1335164.723791569,16227.0751953125,2369.5510759370795,16399.168933083187,-0.01452784575747934,-0.05876174594211406,102735.052029341,111601.16623670777,2284638.3923932505
Electrical_Fault_Noise,301.937255859375,1778.4214437968667,1803.8705436456414,-0.26271513554049974,0.026995559048668162,60841.28566218442,96224.87079571477,2206063.4698528885,-187.60009765625,1203.012293316691,1217.5517954123015,-0.3619566157843237,-0.3789152524244397,35465.13726931576,68358.8520602505,1411460.1722576797,16213.63232421875,2375.6364471183338,16386.74835572415,-0.1574287419706919,-0.031598037851707464,103957.5743617156,110987.7941831544,2311715.4447039766
Electrical_Fault_Noise,305.560546875,1783.138702833043,1809.1298685687702,-0.22386256357545697,0.03525793864116778,62557.05916399495,95480.35180929574,2173939.123594203,-185.796630859375,1200.3809671139209,1214.6747936168128,-0.3885976138131788,-0.3308437680810472,35672.19664662278,68061.46685596716,1543449.4173186442,16188.34521484375,2345.79082542477,16357.422027679104,-0.19775248172059046,-0.027397970587292386,103817.23698609919,108498.3577499643,2235780.894213166
Electrical_Fault_Noise,301.20751953125,1759.224655099918,1784.8241809583358,-0.2290189968474774,0.035341435971201866,60359.62876304939,95075.02357508405,2143560.8139019157,-187.020751953125,1204.9838221039513,1219.4108303575786,-0.3938895333796917,-0.33823874508315205,33738.295729820384,69368.27743297766,2117312.6087544803,16162.777587890625,2320.0136706972885,16328.4366302424,-0.11297320252146514,-0.05909926500710457,99983.58236535657,109817.73427951605,2271256.072338677
